0	0	0
2	0	1
4	0	3
5	0	5
7	1	7
9	1	9
11	2	11
12	2	14
14	3	16
15	3	18
17	4	21
18	4	23
19	5	25
20	6	28
21	6	30
22	7	33
23	8	35
24	9	38
24	10	40
25	11	43
25	12	45
25	13	48
26	14	50
26	15	53
26	16	55
26	18	58
26	19	60
25	20	62
25	22	64
25	23	67
24	25	69
24	26	71
23	28	73
23	30	74
22	31	76
21	33	78
21	35	79
20	37	81
19	39	82
18	40	84
17	42	85
16	44	86
15	46	87
14	48	88
13	50	89
12	52	89
12	55	90
11	57	90
10	59	91
9	61	91
8	63	91
7	65	91
6	67	91
5	69	91
4	72	90
4	74	90
3	76	89
2	78	89
2	80	88
1	82	87
1	84	86
1	86	85
0	88	84
0	90	83
0	92	81
0	94	80
0	96	78
0	98	77
1	100	75
1	102	74
1	104	72
2	105	70
3	107	68
4	109	66
4	110	64
5	112	62
7	113	61
8	115	59
9	116	57
11	117	55
12	119	52
14	120	50
16	121	48
18	122	46
20	123	45
22	124	43
24	125	41
27	126	39
29	127	37
32	127	35
35	128	33
37	128	32
40	129	30
43	129	29
46	130	27
50	130	26
53	130	24
56	131	23
60	131	22
63	131	21
67	131	20
71	131	19
74	131	19
78	131	18
82	130	18
86	130	17
90	130	17
94	130	17
98	129	17
102	129	17
106	128	18
110	128	18
114	127	19
118	127	19
123	126	20
127	126	21
131	125	22
135	124	24
139	124	25
143	123	27
147	122	28
151	122	30
155	121	32
159	120	34
163	120	36
167	119	39
170	118	41
174	118	44
178	117	47
181	116	50
185	116	53
188	115	56
191	115	59
194	114	62
197	114	66
200	113	69
203	113	73
206	112	76
209	112	80
211	112	84
214	111	88
216	111	92
218	111	96
220	111	100
222	111	104
224	111	108
226	111	113
228	111	117
229	111	121
230	111	126
232	111	130
233	112	134
234	112	139
235	113	143
235	113	147
236	114	152
236	114	156
237	115	160
237	116	165
237	117	169
237	117	173
237	118	177
237	119	181
237	121	185
236	122	189
236	123	193
235	124	197
235	126	201
234	127	204
233	128	208
232	130	211
231	131	215
230	133	218
229	135	221
228	137	224
226	138	227
225	140	230
224	142	233
222	144	236
221	146	238
219	148	241
218	150	243
216	152	245
215	154	247
213	156	249
212	158	251
210	161	252
209	163	254
207	165	255
205	167	255
204	169	255
203	172	255
201	174	255
200	176	255
198	178	255
197	181	255
196	183	255
194	185	255
193	187	255
192	190	255
191	192	255
190	194	255
189	196	255
188	198	255
188	201	255
187	203	255
186	205	255
186	207	255
186	209	255
185	211	255
185	213	255
185	215	255
185	216	255
185	218	255
185	220	255
185	222	255
186	223	254
186	225	253
187	227	252
187	228	252
188	230	251
189	231	250
190	232	249
191	234	248
192	235	247
193	236	246
195	237	245
196	239	245
198	240	244
199	241	243
201	242	243
202	243	242
204	244	241
206	244	241
208	245	241
210	246	240
212	247	240
214	247	240
216	248	240
218	248	240
221	249	240
223	250	240
225	250	241
227	250	241
230	251	242
232	251	242
234	252	243
237	252	244
239	252	245
241	253	246
243	253	247
246	253	248
248	254	250
250	254	251
252	254	253
255	255	255
